Sezione,Prodotto,Prezzo,Descrizione,Link immagine,dettaglio prodotto riga 1,dettaglio prodotto riga 2,dettaglio prodotto riga 3,dettaglio prodotto riga 4,Cod Prodotto
La Caffetteria,,,"Nella nostra caffetteria, ogni scelta è un invito a vivere un'esperienza unica, dove classici intramontabili come l'espresso energizzante si fondono con alternative salutari come orzo e ginseng, e pause di puro relax tra thè e tisane. Lasciatevi tentare dalla dolcezza di croissants e pasticciotti, o dalla coccola di una cioccolata calda, mentre esplorate varietà decaffeinate e creazioni con un tocco in più come il caffè corretto. Qui, il piacere di una pausa caffè si trasforma in un viaggio di sapori e aromi, accompagnato da delizie dolci e salate per ogni momento della giornata.",,,,,,1
La Caffetteria,Caffè Espresso,"€1,00","Un classico intramontabile, l'espresso che dà energia.",,,,,,2
La Caffetteria,Caffè Americano,"€1,30",Perfetto per chi ama diluire il momento del caffè nel tempo.,,,,,,3
La Caffetteria,Caffè Dec,"€1,20","Il piacere del caffè, senza la caffeina.",,,,,,4
La Caffetteria,Thè/Tisana,"€2,50",Una pausa di puro relax tra aromi e sapori.,,,,,,5
La Caffetteria,Espressino,"€1,30","Un piccolo lusso quotidiano, caffè con un velo di latte.",,,,,,6
La Caffetteria,Orzo/Ginseng,"€1,50",L'alternativa sana per un boost di energia.,,,,,,7
La Caffetteria,Cappuccino,"€1,50","L'abbinamento perfetto di caffè, latte e schiuma.",,,,,,8
La Caffetteria,Latte Macchiato,"€1,50","Dolce e avvolgente, per un inizio giornata morbido.",,,,,,9
La Caffetteria,Espressino Dec,"€1,50","L'espressino, ma decaffeinato.",,,,,,10
La Caffetteria,Cioccolata Calda,"€3,00","Una coccola densa e golosa, con un extra di panna su richiesta.",,,,,,11
La Caffetteria,Caffè Corretto,"€1,50",Per chi al caffè chiede un po' più di carattere.,,,,,,12
La Caffetteria,Mini Croissant,"€1,00",Piccolo peccato di gola mattutino.,,,,,,13
La Caffetteria,Croissant,"€1,20","L'ideale compagno del caffè, in versione dolce o salata.",,,,,,14
La Caffetteria,Croissant Salato Farcito,"€3,00",Un'esplosione di gusto in ogni morso.,,,,,,15
La Caffetteria,Crostata con Confettura,"€2,50",Tradizione e dolcezza in ogni fetta.,,,,,,16
La Caffetteria,Crostata con Confettura Vegana,"€3,00",Per chi cerca gusto e leggerezza.,,,,,,17
La Caffetteria,Pasticciotto,"€1,80",Il dolce abbraccio del Sud in un pasticcino.,,,,,,18
La Caffetteria,Frollino,"€1,00",La semplicità che delizia sempre.,,,,,,19
La Caffetteria,Tetta della Monaca,"€1,50",Un dolcetto dal cuore tenero e irresistibile.,,,,,,20
Bevande,,,"La nostra selezione di bevande è un viaggio attraverso freschezza, benessere e gusto, in cui l'essenziale purezza dell'acqua si incontra con la vivacità delle toniche e l'indimenticabile sapore dei classici come Coca e Fanta. Dai momenti di puro rilassamento con un Crodino o un Cocktail San Pellegrino, alle pause energizzanti di un Red Bull, fino alle fresche infusione di The Pesca o Limone per rinfrescare le vostre estati. Ogni sorso è pensato per accompagnare il vostro momento con la giusta nota di sapore, offrendovi una vasta gamma di scelte naturali, frizzanti e piene di carattere.",,,,,,21
Bevande,Acqua,"€1,00",La freschezza essenziale per ogni momento.,,,,,,22
Bevande,Acqua Biosalus,"€2,50",Quando l'acqua incontra il benessere.,,,,,,23
Bevande,Tonica,"€2,50",Per chi ama le sensazioni frizzanti.,,,,,,24
Bevande,Coca/Coca Zero,"€2,50",Il classico che non tramonta mai.,,,,,,25
Bevande,Crodino,"€2,50",L'aperitivo analcolico per eccellenza.,,,,,,26
Bevande,Cocktail San Pellegrino,"€2,50",Frizzantezza e gusto in ogni sorso.,,,,,,27
Bevande,Fanta,"€2,50",L'arancia che disseta e diverte.,,,,,,28
Bevande,Lemon Soda,"€2,50",L'acidulo che rinfresca.,,,,,,29
Bevande,Red Bull,"€3,00",Per quelli che cercano ali.,,,,,,30
Bevande,The Pesca/Limone,"€3,00",L'infusione fredda per un'estate in città.,,,,,,31
Bevande,Campari Soda,"€3,00","L'aperitivo iconico, amaro e intrigante.",,,,,,32
Bevande,Succo di Frutta,"€2,50",La dolcezza naturale in diverse varianti.,,,,,,33
Birra,,,"La nostra offerta alla spina celebra l'arte brassicola con la Viola, una birra artigianale che seduce i veri intenditori e invita alla condivisione nei momenti speciali. Che optiate per un intimo calice da 0,40 lt o decidiate di condividere la generosità di una bottiglia da 75 cl, la Viola si rivela la scelta perfetta per brindisi autentici, dove il gusto ricercato incontra la convivialità e il piacere del sorseggiare insieme.",,,,,,34
Birra,"Viola Spina 0,40 lt","€6,00",Birra artigianale per veri intenditori.,,,,,,35
Birra,Viola 75 cl,"€15,00","Da condividere, per momenti speciali.",,,,,,36
Vini & Spiriti,,,"La nostra selezione di Vini & Spiriti è un viaggio sensoriale che vi conduce attraverso vigneti prestigiosi e distillerie rinomate. Dalle bollicine esuberanti di Franciacorta ai brindisi eccelsi con Champagne, fino all'eleganza del whisky giapponese Akashi e alla complessità del rum Diplomatico, ogni sorso racconta una storia unica. Scoprite la varietà dei nostri distillati, dalle note fresche del Dente di Leone alla cremosità del Baileys, passando per l'intensità di Barcelò Imperial e il mistero del Kraken. Un'esperienza che celebra la diversità e la ricchezza dei sapori di tutto il mondo, pensata per soddisfare i palati più raffinati.",,,,,,37
Vini & Spiriti,Calice (a salire secondo etichetta),"€5,00",Un viaggio attraverso i vigneti più prestigiosi.,,,,,,38
Vini & Spiriti,Calice Franciacorta,"€8,00",La bollicina italiana per eccellenza.,,,,,,39
Vini & Spiriti,Calice Champagne,"€15,00",Per brindisi indimenticabili.,,,,,,40
Vini & Spiriti,Akashi (tutti i distillati sono porzioni regular),"€10,00",L'eleganza del whisky giapponese.,,,,,,41
Vini & Spiriti,Dente di Leone,"€6,00",Un amaro dalle note sorprendentemente fresche.,,,,,,42
Vini & Spiriti,Baileys,"€4,00",La cremosità dell'Irlanda in un sorso.,,,,,,43
Vini & Spiriti,Barcelò Imperial,"€12,00",Il rum che racconta storie di terre lontane.,,,,,,44
Vini & Spiriti,Cardamaro,"€8,00",L'amaro con un cuore di cardo.,,,,,,45
Vini & Spiriti,Clarin Casimir,"€8,00","Un distillato esotico, diretto da Haiti.",,,,,,46
Vini & Spiriti,Diplomatico,"€8,00",La dolcezza e complessità del Venezuela.,,,,,,47
Vini & Spiriti,Don Papa,"€8,00","Il rum filippino, ricco e avvolgente.",,,,,,48
Vini & Spiriti,Grappa Amarone,"€8,00",La forza dell'Italia in un distillato.,,,,,,49
Vini & Spiriti,Grappa Franciacorta,"€4,00",La raffinatezza del territorio in una grappa.,,,,,,50
Vini & Spiriti,Jagermeister,"€4,00",Per gli amanti delle spezie e delle erbe.,,,,,,51
Vini & Spiriti,Jefferson,"€6,00",Un bourbon dal cuore americano.,,,,,,52
Vini & Spiriti,Kraken,"€8,00","Il rum scuro come la notte, intenso e misterioso.",,,,,,53
Vini & Spiriti,Limoncello,"€4,00",Il sapore dell'estate italiana in ogni goccia.,,,,,,54
Vini & Spiriti,Sambuca,"€2,50",La dolce tentazione anice.,,,,,,55
Vini & Spiriti,Talisker,"€10,00",Un single malt per veri intenditori.,,,,,,56
Bollicine & Franciacorta,,,"La nostra gamma di Bollicine & Franciacorta celebra l'eleganza e la diversità, da Bellavista a Ca del Bosco, fino alle prestigiose note di Cristal e Veuve Clicquot. Scelte raffinate per brindisi memorabili, ogni bottiglia è una promessa di freschezza, lusso e momenti unici.",,,,,,57
Bollicine & Franciacorta,Bellavista Alma Brut,"€45,00",Eleganza e freschezza in ogni bollicina.,,,,,,58
Bollicine & Franciacorta,Bellavista Dosage Zero,"€50,00",Per chi ama la purezza delle bollicine.,,,,,,59
Bollicine & Franciacorta,Bellavista Rosè,"€55,00",Un tocco di colore e vivacità nel bicchiere.,,,,,,60
Bollicine & Franciacorta,Bellavista Teatro La Scala,"€55,00","Un'ode alla grandezza, limitata e speciale.",,,,,,61
Bollicine & Franciacorta,Ca del Bosco AMC,"€180,00",Lusso e complessità in una bottiglia d'eccezione.,,,,,,62
Bollicine & Franciacorta,Ca del Bosco Brut,"€60,00","L'icona della Franciacorta, per momenti unici.",,,,,,63
Bollicine & Franciacorta,Ca del Bosco Rosè,"€75,00",L'interpretazione rosa della perfezione.,,,,,,64
Bollicine & Franciacorta,Contadi Castaldi Brut,"€35,00",La freschezza e l'eleganza del territorio.,,,,,,65
Bollicine & Franciacorta,Contadi Castaldi Rosè,"€35,00",Un rosè che racconta di terreni solari e vitigni curati.,,,,,,66
Bollicine & Franciacorta,Contadi Castaldi Saten,"€35,00",Morbidezza e seduzione in ogni sorso.,,,,,,67
Bollicine & Franciacorta,Billecart Salmon Brut,"€75,00","Un classico che non delude mai, equilibrio perfetto.",,,,,,68
Bollicine & Franciacorta,Billecart Salmon Rosè,"€110,00","Per gli amanti del lusso, una scelta di classe.",,,,,,69
Bollicine & Franciacorta,Laurent Perrier Brut,"€75,00",Un brut di rara finezza e freschezza.,,,,,,70
Bollicine & Franciacorta,Laurent Perrier Rosè,"€110,00","L'eccellenza in rosa, per occasioni indimenticabili.",,,,,,71
Bollicine & Franciacorta,Louis Roederer Brut,"€85,00",Complessità e ricchezza in un equilibrio perfetto.,,,,,,72
Bollicine & Franciacorta,Cristal,"€350,00",Il simbolo dell'esclusività e del prestigio.,,,,,,73
Bollicine & Franciacorta,Moet & Chandon Ice,"€95,00","L'innovazione del gusto, da servire con ghiaccio.",,,,,,74
Bollicine & Franciacorta,Vueve Cliquot,"€95,00","Una tradizione di eccellenza, per brindisi senza tempo.",,,,,,75
Vini Rossi,,,"La nostra collezione di Vini Rossi spazia dall'intensità dell'Amarone Speri alla tradizione della Cantina di Venosa, abbracciando la ricchezza e la diversità di territori ricchi di storia. Dall'eleganza di Frescobaldi alla freschezza di Libellula Rossa e ai sapori intensi di San Marzano, ogni bottiglia è selezionata per offrirvi un'esperienza unica, che coniuga tradizione e innovazione in un calice di vino rosso.",,,,,,76
Vini Rossi,Amarone Speri,"€65,00","Un rosso potente e avvolgente, che parla di terra e passione.",,"NOTE DI DEGUSTAZIONE: Rosso granato carico. Ha un profumo etereo e armonico, con sentori di frutta rossa, prugna secca, liquirizia e spezie. In degustazione si dimostra caldo e avvolgente, asciutto e di rara eleganza. È delicato ma allo stesso tempo vigoroso.",ABBINAMENTI: Richiede in abbinamento secondi piatti strutturati e preparazioni a base di carni rosse o cacciagione. Si può benissimo apprezzare anche da solo a fine cena. Perfetto con i crostini di beccacce.,"Perchè ci piace? È un vino ancora giovane ma già si percepiscono finezza ed equilibrio. Ha un' eccezionale carattere, cosa che molti vini della Valpolicella aspirerebbero ad avere. È il simbolo indiscusso dell' azienda Speri, che produce questo Amarone con un' accurata selezione dei migliori grappoli raccolti nel cru di Monte Sant' Urbano. È doveroso cercare di avere pazienza e resistere, e dimenticare in cantina l'Amarone della Valpolicella Classico DOCG Vigneto Monte Sant' Urbano di Speri per almeno 3-5 anni.",Momento per degustarlo: Cena formale,77
Vini Rossi,Cantina di Venosa,"€45,00","Un viaggio nel cuore del sud, tra sole e vigneti antichi.",,,,,,78
Vini Rossi,Cantina di Venosa Verbo,"€20,00","L'espressione pura del territorio, in un rosso che sorprende.",,,,,,79
Vini Rossi,Frescobaldi Campo ai Sassi,"€22,00","Eleganza e struttura, per un rosso che incanta.",,"NOTE DI DEGUSTAZIONE: Rosso rubino molto brillante. Al naso esprime note di ribes nero e profumi intensi e agrumati di bergamotto. Note balsamiche di menta, di liquirizia, di cardamomo e floreali di viola. In bocca si presenta con la classica trama tannica del sangiovese di Montalcino, fitta ma non priva di asperità. Finale intenso e persistente.","ABBINAMENTI: A tutto pasto, si abbina a piatti di pasta all'uovo come pappardelle condite con il sugo di lepre, cinghiale e carni rosse, dalla bistecca allo stracotto.","Perchè ci piace? Il borgo di Castelgiocondo domina dall'alto la storica tenuta dei Frescobaldi a Montalcino, un'antica roccaforte costruita nel 1100 a difesa della via che dal mare portava a Siena. Un luogo storico, si tratta infatti di una delle prime quattro proprietà in cui nel 1800 iniziò la produzione del Brunello di Montalcino. La Tenuta si trova in un terroir ideale per il sangiovese e per i grandi vini che qui si producono: i vigneti dimorano ad altezze tra i 300 e i 400 metri, i suoli ben drenanti hanno la soleggiata e favorevole esposizione a sud-ovest. In vigna cura maniacale, alte densità e basse rese, permettono di produrre un grande Brunello, dalla stoffa elegante e dalla longevità mirabile. Il Campo ai Sassi è un Rosso di Montalcino che presenta le stesse caratteristiche del fratello maggiore ma in versione più giovanile e disimpegnata. Si produce infatti dalla stessa varietà di uva, il sangiovese, proveniente da vigneti posti su terreni molto profondi che portano a vini profumati ed eleganti, ma meno tannici del Brunello.",Momento per degustarlo: Bicchiere quotidiano,80
Vini Rossi,Frescobaldi Nipozzano Riserva,"€22,00","La tradizione si incontra con l'eccellenza, in un calice di profonda complessità.",,,,,,81
Vini Rossi,Libellula Rossa,"€14,00","Un rosso leggero e fruttato, per chi cerca freschezza e bevibilità.",,,,,,82
Vini Rossi,San Marzano Sessantanni,"€30,00","Un rosso che parla di storia, di vite vecchie e di sapori intensi.",,,,,,83
Vini Rossi,San Marzano Talò,"€16,00","La modernità incontra la tradizione, in un rosso vibrante e solare.",,,,,,84
Vini Rossi,San Pancrazio Campo Appio,"€18,00",Un vino che racconta di campi dorati e di raccolti generosi.,,,,,,85
Vini Rossi,Susumaniello Boccantino,"€20,00","Un tesoro nascosto del sud, ricco e pieno di carattere.",,,,,,86
Vini Bianchi,,,"La nostra selezione di Vini Bianchi vi invita a esplorare un mondo di freschezza, eleganza e complessità. Dalla mineralità della Ribolla Gialla Attems all'intensità aromatica del Sauvignon, passando per la leggerezza floreale di Libellula Bianca e le note agrumate di Preludio n1. Sorprendetevi con la ricchezza di San Marzano Edda e scoprite l'unicità di Torrevento Bacca Rara, fino alla pura espressione del terroir con il Chablis. Ogni calice è un viaggio attraverso sapori e aromi distintivi, pensati per accompagnare e arricchire ogni momento.",,,,,,87
Vini Bianchi,Attems Ribolla Gialla,"€18,00",Freschezza e mineralità in un bianco di grande espressione.,,,,,,88
Vini Bianchi,Attems Sauvignon,"€18,00",L'intensità aromatica si fonde con l'eleganza.,,,,,,89
Vini Bianchi,Libellula Bianca,"€14,00","Leggero e floreale, per chi ama i bianchi delicati.",,,,,,90
Vini Bianchi,Preludio n1,"€16,00","Un preludio al piacere, con note agrumate e vivaci.",,,,,,91
Vini Bianchi,San Marzano Edda,"€23,00","Un bianco che sorprende, ricco e complesso.",,,,,,92
Vini Bianchi,Torrevento Bacca Rara,"€22,00","Unico e distintivo, per palati alla ricerca di novità.",,,,,,93
Vini Bianchi,Chablis,"€43,00","La purezza del terroir francese, in un bianco senza tempo.",,,,,,94
Vini Rosati,,,"La nostra selezione di Vini Rosati esplora sfumature di freschezza e seduzione, da Libellula Rosa, ideale per ogni momento, a Calafuria e il suo invito ai sogni marini. Ogni rosato, con la sua unicità, dal giovane e fresco al seducente e intenso, promette di arricchire le vostre occasioni con eleganza e piacere.",,,,,,95
Vini Rosati,Libellula Rosa,"€14,00","Un rosato fresco e giovane, perfetto per ogni occasione.",,,,,,96
Vini Rosati,Tramari,"€18,00",L'eleganza del rosato si esprime in forma sublime.,,,,,,97
Vini Rosati,Veritas,"€18,00",Un rosato che cerca la verità nel gusto.,,,,,,98
Vini Rosati,Maremosso,"€18,00","Come un mare in tempesta, intenso e memorabile.",,,,,,99
Vini Rosati,Calafuria,"€22,00","Un invito a sognare, tra le coste soleggiate e il mare cristallino.",,,,,,100
Vini Rosati,Pungirosa,"€18,00","Delicato e seducente, un rosato che accarezza i sensi.",,,,,,101
Drink & CO…,,,"La nostra selezione di Drink & CO… vi porta in un viaggio attraverso i classici intramontabili e le creazioni originali. Dal raffinato equilibrio di un Americano alla freschezza tropicale di un Daiquiri, dalla semplicità elegante di un Gin Tonic alla vivacità di un Mojito, ogni cocktail è un'opera d'arte liquida. L'italianissimo Spritz, l'intenso Negroni, o il nostro esclusivo Libellula Drink, sono pensati per sorprendere e deliziare. Con l'opzione di arricchire ogni drink con distillati Premium, la vostra esperienza al bar diventa un'occasione unica, ricca di gusto e stile.",,,,,,102
Drink & CO…,Americano,"€8,00","Un classico intramontabile, equilibrio perfetto di amaro e dolce.",,,,,,103
Drink & CO…,Daiquiri,"€8,00","L'essenza del tropico in un sorso, fresco e vivace.",,,,,,104
Drink & CO…,Gin Tonic,"€8,00","La semplicità raffinata, per un aperitivo senza tempo.",,,,,,105
Drink & CO…,Mojito,"€8,00","Un'esplosione di freschezza, dove la menta gioca con lo zucchero.",,,,,,106
Drink & CO…,Spritz,"€6,00","L'aperitivo italiano per eccellenza, simbolo di convivialità.",,,,,,107
Drink & CO…,Negroni,"€8,00","Un cocktail dal carattere forte, per veri intenditori.",,,,,,108
Drink & CO…,Vodka Red Bull/Lemon/Tonic,"€8,00",Per chi cerca emozioni forti e gusti decisi.,,,,,,109
Drink & CO…,Libellula Drink,"€8,00","La nostra firma: un cocktail esclusivo, sorprendente ad ogni sorso.",,,,,,110
Drink & CO…,Moscow Mule,"€8,00","Perfetto equilibrio di piccante e dolce, freschezza garantita.",,,,,,111
Drink & CO…,Tutti i drink con l’aggiunta di distillati Premium,"€10,00",Esalta il tuo drink con la nostra selezione di distillati di alta qualità.,,,,,,112
Appetizer,,,"I nostri Appetizer sono un incipit gustoso al viaggio culinario di CAVOUR 62: dal ricco sapore delle specialità pugliesi all'eleganza dei Club Sandwich, passando per la freschezza dei Tacos e la leggerezza dell'Insalata Mix. L'Aperitivo dello chef vi introduce all'eccellenza della nostra cucina, offrendo un'esperienza variegata che spazia dal gusto intenso alla raffinatezza dei sapori, ideale per iniziare con stile.",,,,,,113
Appetizer,Apulian Tris Mix,"€6,00","Un assaggio delle delizie pugliesi, per iniziare con gusto.",,,,,,114
Appetizer,Toast,"€5,00","Semplice e delizioso, un classico che non stanca mai.",,,,,,115
Appetizer,Club Sandwich,"€6,00","Stratificazioni di sapore in ogni morso, un must-have senza tempo.",,,,,,116
Appetizer,Club Sandwich Vegan,"€10,00","La nostra versione green, ricca di gusto e di colore.",,,,,,117
Appetizer,Tacos al tonno e stracciatella e datterino giallo,"€10,00","Un'esplosione di sapori marini, racchiusi in una croccantezza unica.",,,,,,118
Appetizer,Tacos al salmone e gucamole,"€6,00","Freschezza e leggerezza in un boccone, per veri gourmet.",,,,,,119
Appetizer,Insalata Mix,"€5,00","Una pausa leggera, ma piena di gusto e freschezza.",,,,,,120
Appetizer,"Aperitivo dello chef per 2 con drink analcolico Tris, club sandwich, capresine, panzerottini, fiori di zucca in tempura ( Variante con drink alcolico o calice )","€20,00","Un viaggio culinario, per scoprire e assaporare la nostra cucina.",,,,,,121
Appetizer,Aperitivo dello chef per 2 con drink alcolico o calice,"€25,00","Un'esperienza gastronomica completa in un unico piatto: dall'iconico club sandwich a delizie fritte come i panzerottini e i fiori di zucca in tempura, accompagnati da fresche capresine. Scegli tra una versione con drink analcolico o un calice di vino per completare il tuo aperitivo con un tocco di classe.",,,,,,122
Dalla Cucina,"Tuna Tataki (tonno marinato in emulsione E.V.0 e soia, scottato in crosta di sesamo) ","€20,00","Un piatto che parla di mare e di terra lontane, un incontro di culture in tavola.",,,,,,123
Apulian Sushi,,,"Apulian Sushi offre un twist creativo al sushi tradizionale: dal fresco salmone del White Bread Salmon Roll, all'omaggio locale di People Love Bari, fino all'innovativo Vegan Bread Roll. Alice e il Scalded Roll completano questa esperienza culinaria unica, unendo tradizione pugliese e sapori del mare in interpretazioni sorprendenti e gustose.",,,,,,124
Apulian Sushi,"White Bread Salmon Roll (8Pz) ( roll di pane bianco con all’interno salmone affumicato , avocado e cremoso alle erbe, sesamo e granulare al pistacchio) ","€12,00","La nostra reinterpretazione del sushi, con il calore del pane e il fresco del salmone.",,,,,,125
Apulian Sushi,"People Love Bari (roll di pane bianco con salmone, zucchina alla poverella e mandorla tostata, all’ esterno phila e teriaki sauce) ","€12,00","Un omaggio alla nostra città, in un roll che racchiude il gusto del territorio.",,,,,,126
Apulian Sushi,"Vegan Bread Roll (caponata di verdure, crema di bufala, cremoso alle erbe, patè di olive nere) ","€10,00","Perché anche nel sushi, il vegano può sorprendere con gusto e inventiva.",,,,,,127
Apulian Sushi,"Alice ( roll di pane bianco, con all’interno rape stufate ,alici del cantabrico,  spicy mayo, e patè di pomodori secchi)","€12,00","Un'avventura di sapori, dove il mare incontra l'audacia in cucina.",,,,,,128
Apulian Sushi,"Scalded Roll (  roll di pane bianco salmone scottato, philadelphia, avocado)","€12,00","La perfezione del salmone in una nuova, irresistibile versione.",,,,,,129
Mix Bread Croutons,Crostoni di Pane Croccante Farciti 4 PZ per porzione (di terra o di mare o mix),"€15,00","Una selezione di crostoni, croccanti fuori e morbidi dentro, disponibili in versione di terra, di mare o mix. Perfetti per chi desidera assaporare l'essenza della nostra cucina in piccoli, deliziosi bocconi. 4 pezzi per porzione, un'esperienza gustativa che soddisfa la vista quanto il palato.",,,,,,130
Taglieri Selection,,,,,,,,,131
Taglieri Selection,Medium - Selezione di affettati pregiati e formaggi di masseria biologica serviti con confetture grissini e crostini di pane croccante,"€20,00",Un'accurata selezione per gustare il meglio della nostra offerta.,,,,,,132
Taglieri Selection,Large - Selezione di affettati pregiati e formaggi di masseria biologica serviti con confetture grissini e crostini di pane croccante,"€25,00","Per chi non vuole rinunciare a nulla, il massimo dell'esperienza gustativa.",,,,,,133
Taglieri Selection,Jamon Iberico - Selezione di affettati pregiati e formaggi di masseria biologica serviti con confetture grissini e crostini di pane croccante,"€13,00","Un assaggio diretto dalla Spagna, per palati raffinati.",,,,,,134
Tris di Tartare,"Mini tartare ( tonno  rosso , salmone , gambero rosso) Servite con avocado/ guacamole, emulsione EVO e crostini di pane croccante","€18,00","Tre interpretazioni del mare, per scoprire nuovi orizzonti di sapore.",,,,,,135
Chef Special Dish,Polpo CBT su crema di patata viola,"€20,00","Una sinfonia di sapori e colori, dove il mare incontra l'innovazione.",,,,,,136
Chef Special Dish,"Trancio di salmone CBT marinato agli agrumi, crumble di tarallo, datterino confit e teriaky sauce","€20,00","Un'elegante espressione di sapori e texture, dove il salmone, marinato agli agrumi e cotto a bassa temperatura, si fa protagonista. Accompagnato da un crumble di tarallo che aggiunge croccantezza e un tocco di datterino confit per una dolcezza equilibrata. La teriaky sauce lega tutti gli elementi in un abbraccio di gusto intenso e memorabile.",,,,,,137
I Risotti,Risotto Crema di Zucchine e Guacamole Con tartara di tonno con olio al tartufo bianco,"€15,00","Un risotto che sorprende, dove la cremosità incontra il fresco.",,,,,,138
I Risotti,Risotto alla crema di asparagi con tataki di maialino e polvere di olive nere,"€15,00","Una combinazione sorprendente che unisce la delicatezza degli asparagi alla ricchezza del tataki di maialino, impreziosito da un tocco di polvere di olive nere.",,,,,,139
I Risotti,Delizie dell'Adriatico,"€18,00","Un omaggio ai sapori del mare, in un piatto che sa di sole e di sale.",,,,,,140
Meat&Bones,Ribs di Maiale,"€15,00","La nostra interpretazione di un classico americano, dove la carne si fa arte.",,,,,,141
Meat&Bones,Tartara di manzo con uovo di quaglia e datterino,"€13,00","Un'opera d'arte culinaria che cattura l'essenza della carne in tutta la sua freschezza. La tartara di manzo, selezionata con cura per la sua qualità e sapore, viene delicatamente condita e servita con un uovo di quaglia, simbolo di raffinatezza, e completata da datterini dolci e succosi. Un equilibrio perfetto di gusti e texture che promette di soddisfare i palati più raffinati.",,,,,,142
Pinse&Schiacciate,Pinsa Margherita,"€10,00","Un classico senza tempo, la margherita si veste di leggerezza nella nostra pinsa.",,,,,,143
Pinse&Schiacciate,Pinsa al Salmone,"€12,00","Freschezza e gusto si incontrano in questa pinsa, ideale per gli amanti del pesce.",,,,,,144
Pinse&Schiacciate,Pinsa ai 4 Formaggi,"€10,00","Per gli amanti dei formaggi, una pinsa ricca e filante che conquista al primo assaggio.",,,,,,145
Pinse&Schiacciate,Schiacciata al Capocollo e Stracciatella,"€10,00","Un connubio perfetto di sapori autentici, in una schiacciata che sa di Puglia.",,,,,,146
Pinse&Schiacciate,Schiacciata Valtellina con Bresaola Rucola e Grana,"€10,00",L'essenza della Valtellina in una schiacciata ricca di gusto e tradizione.,,,,,,147
Pinse&Schiacciate,Schiacciata Vegan Mix di Verdure,"€10,00","Colorata, fresca e gustosa, la nostra proposta per un'opzione vegana ricca di sapore.",,,,,,148
